"Neighborhood";"sqft";"address";"latitude";"longitude"
"Lower East Side";1380;"77 E 4th St";40.7265560583945;-73.9902155618292
"Lower East Side";1694;"73 E 4th St";40.7266190109365;-73.9903774397944
"Lower East Side";1725;"71 E 4th St";40.7266549838177;-73.9904583787771
"Lower East Side";1896;"67 E 4th St";40.72672692958;-73.9906202567424
"Lower East Side";2208;"65 E 4th St";40.7267539092409;-73.990701195725
"Lower East Side";1694;"63 E 4th St";40.7267898821221;-73.9907821347076
"Lower East Side";1408;"27 E 3rd St";40.7258096211102;-73.9903414669133
"Lower East Side";1656;"25 E 3rd St";40.7258455939913;-73.9904224058959
"Lower East Side";1650;"23 E 3rd St";40.7258725736522;-73.9905033448786
"Lower East Side";1804;"60 E 4th St";40.7266819634786;-73.9906652228438
"Lower East Side";1422;"83 2nd Ave";40.7266280041568;-73.989136375394
"Lower East Side";1311;"9 E 3rd St";40.7261063973799;-73.9910519313164
"Lower East Side";1564;"89 E 3rd St";40.7248023804373;-73.987967256756
"Lower East Side";1042;"21 E 3rd St";40.7259085465334;-73.9905752906409
"Lower East Side";1508;"56 E 4th St";40.7267449160206;-73.9908181075888
"Lower East Side";2706;"75 E 4th St";40.7265830380554;-73.9902965008118
"Lower East Side";1702;"69 E 4th St";40.7266819634786;-73.9905393177597
"Lower East Side";1694;"58 E 4th St";40.7267179363598;-73.9907371686062
"East Harlem";6400;"2383 2nd Ave";40.8008674333019;-73.9350288605659
"East Harlem";6400;"2253 3rd Ave";40.8020875219652;-73.9369108102787
"East Harlem";5250;"221 122nd St";40.801604820261;-73.936693614276
"East Harlem";2555;"230 123rd St";40.8020478945052;-73.9360895807289
"Bedford Stuyvesant";8000;"247 Herkimer Street";40.6794446729329;-73.9450616152418
"East Harlem";11863;"2 E 120th St";40.8031838277589;-73.9446271516754
"East Harlem";13020;"26 E 120th St";40.8028123474679;-73.9437736791596
"Bowery";10697;"227 Bowery";40.7221044143494;-73.99330922961
"Long Island City";10406;"10-27 46th Ave";40.7466828854102;-73.9515806874505
"Greenpoint";15392;"211 Meserole Avenue/ 120 Jewel Street";40.7273247870026;-73.9518184569198
"Bronx";18900;"990 Pelham Parkway South";40.8567405300161;-73.8610092027034
"Fleetwood Concourse Village";1541;"380 E 166th St";40.8293125934623;-73.9120374978222
"Fleetwood-Concourse Village";3219;"320 E 166th st";40.8298611799002;-73.9137102367967
"Fleetwood-Concourse Village";9882;"1109 Clay Ave";40.8297802409176;-73.9121004503642
"Fleetwood-Concourse Village";2697;"275 E 168th st";40.8335933663217;-73.9134854062893
"Fleetwood-Concourse Village";1794;"391 E 168th St";40.832496193446;-73.9102028808824
"Fleetwood-Concourse Village";2392;"393 E 168th St";40.8324000951105;-73.9098314077751
"University Heights";4368;"1605 University Ave";40.8471590822005;-73.9204076208465
"University Heights";8772;"1472 Montgomery Ave";40.8474519187933;-73.9211026638775
"University Heights";9756;"1601 University Ave";40.8469956454166;-73.9206631082328
"University Heights";6900;"1615 University Ave";40.8475676741882;-73.9197689023369
"University Heights";5676;"1611 University Ave";40.8474042374044;-73.9200243897232
"University Heights";10821;"1491 Montgomery Ave";40.8477143161705;-73.9210171208589
"University Heights";20694;"1669-75 University Ave";40.84627114647;-73.9216343351935
"University Heights";9790;"1665 Andrews Ave";40.8485909948241;-73.9191959385291
"University Heights";6986;"120 West 176th St";40.8493916234227;-73.9184598299158
"High Bridge";5447;"1655 Macombs Road";40.8477958904558;-73.9162777089121
"High Bridge";5933;"1647 Macombs Road";40.8475704214973;-73.9162928361701
"High Bridge";4658;"1665 Macombs Road";40.8478835933673;-73.9162373316989
"High Bridge";3842;"1669 Macombs Road";40.8480814442138;-73.9162193452584
"Morris Heights";13861;"2001 University Ave";40.8558017206597;-73.9104064241915
"Coney Island";7080;"1901 Mermaid Ave";40.5765041778058;-73.9860247211727
"Prospect Heights";32160;"415 Flatbush Ave";40.6718053332507;-73.9685059280419
"Long Island City";8000;"43-10 11th Street";40.7514133192843;-73.9484690332291
"Washington Heights";5530;"500 West 159th Street";40.8340928562105;-73.9412395804342
"Washington Heights";2290;"540 West 159th Street";40.8348434239425;-73.9429292095286
"Washington Heights";2290;"542 West 159th Street";40.8348973832643;-73.9430551146127
"East Village";7221;"220 East 4th Street";40.7236782279007;-73.9835335991515
"Carroll Gardens";4405;"509-515 Court Street";40.6854366646404;-73.9943704893391
"Upper West Side";6270;"207 W 133rd St";40.8142759291324;-73.9451955010424
"Long Island City";3000;"46-01 5th Street";40.7471145599843;-73.9550880433647
"Brownsville";15320;"1381 East New York Avenue";40.6700696417341;-73.9160394808525
"Harlem";16112;"2960 Fredrick Douglass Blvd";40.8300836389642;-73.9364908826081
"South Bronx";10046;"1122 Franklin Ave";40.8283375061273;-73.9056313788799
"Bowery";5027;"333 Bowery";40.7259583251566;-73.9918633589986
"East New York";39000;"515 Blake Ave";40.6670659061563;-73.9001124877136
"Long Island City";59000;"21-10 Borden Avenue";40.7404056176457;-73.9499079484759
"Upper East Side";1526;"331 E. 86th St";40.7773947327108;-73.9505284806762
"Bushwick";15120;"89-111 Porter Ave";40.7061587532945;-73.9283826310249
"Chelsea";14260;"540 21st Street";40.7471415396452;-74.0069429515742
"Chelsea";5015;"227 West 27th St";40.746937371029;-73.9944068041284
"West Farms";21250;"999 E 178th Street";40.8415995657586;-73.8807190120588
"Norwood";10412;"2751 Grand Concourse";40.8682892102121;-73.8929179114792
